,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Edge_Long_5ticks,Edge_Long_10ticks,Breakeven_Odds_Net_Comm_Short,Edge_Short_5ticks,Edge_Short_10ticks
0,0,"Fri Feb 01, 2019",Pennsylvania,0,0%,-240,-252,-245,-265,-257,-250,-265,-255,-255,-265,-257,-255,-245,-260,-255,-,-,-260,-,-,-265,-265,-265,-265,-250,-250,-,-,-250,-256.8636,0.7197,0.6997,-245,0.7101,0,1,-0.0147,0.0,-232.9916,1.4292,1.4378,0.0841,0.1413,1.4205999999999999,0.041,0.076
1,0,"Fri Feb 01, 2019",Cornell,0,100%,+200,+210,+225,+218,+217,+210,+215,+215,+215,+218,+217,+215,+225,+207,+215,-,-,+210,-,-,+215,+218,+218,+215,+210,+210,-,-,+210,214.9091,0.3176,0.2976,225,0.3077,0,1,-0.0328,0.0,236.02,3.3602,3.4074,0.0118,0.0175,3.313,0.0289,0.0438
2,1,"Fri Feb 01, 2019",North Dakota,0,0%,+135,+136,+145,+140,+140,+140,+140,+140,+140,+140,+140,+140,+145,+134,+143,-,-,+140,-,-,+140,+140,-,+140,+140,+140,-,-,+140,140.1429,0.4165,0.39649999999999996,145,0.4082,0,1,-0.0286,0.0,152.21,2.5221,2.5525,0.0199,0.0313,2.4917000000000002,0.0319,0.0517
3,1,"Fri Feb 01, 2019",Western Illinois,0,100%,-155,-160,-155,-160,-160,-160,-160,-160,-160,-160,-160,-160,-155,-164,-163,-,-,-165,-,-,-165,-160,-,-160,-160,-160,-,-,-160,-160.3333,0.6158,0.5958,-155,0.6078,0,1,-0.0198,0.0,-147.4057,1.6784,1.692,0.0511,0.0854,1.6648,0.0379,0.0677
4,2,"Fri Feb 01, 2019",Princeton,0,96%,-135,-124,-130,-133,-130,-135,-135,-130,-140,-135,-130,-135,-130,-126,-135,-,-,-135,-,-,-135,-133,-135,-135,-130,-135,-,-,-340,-142.0909,0.5793,0.5593,-124,0.5536,1,0,0.0103,0.012832000000000026,-126.9197,1.7879,1.8037,0.0431,0.0716,1.7721,0.0368,0.0648
5,2,"Fri Feb 01, 2019",Columbia,0,4%,+115,+106,+120,+113,+110,+115,+115,+110,+120,+115,+110,+115,+120,+104,+115,-,-,+115,-,-,+115,+113,+115,+115,+110,+115,-,-,+270,120.7273,0.4593,0.43929999999999997,270,0.2703,1,0,0.6254,0.23163333333333333,127.63,2.2763,2.3018,0.0245,0.0393,2.2508,0.0332,0.0552
6,3,"Fri Feb 01, 2019",Brown,0,5%,-135,-136,-130,-140,-137,-130,-135,-130,-140,-125,-137,-135,-130,-139,-135,-,-,-135,-,-,-135,-140,-125,-135,-140,-130,-,-,-130,-134.0455,0.5726,0.5526,-125,0.5556,0,1,-0.0053,0.0,-123.5178,1.8096,1.8258,0.0418,0.0693,1.7934,0.0366,0.0642
7,3,"Fri Feb 01, 2019",Dartmouth,0,95%,+115,+116,+120,+120,+117,+110,+115,+110,+120,+105,+117,+115,+120,+114,+115,-,-,+115,-,-,+115,+120,+105,+115,+120,+110,-,-,+110,114.7273,0.4659,0.44589999999999996,120,0.4545,0,1,-0.019,0.0,124.27,2.2427,2.2676,0.0254,0.0407,2.2178,0.0334,0.0557
8,4,"Fri Feb 01, 2019",Yale,0,100%,-110,+100,+103,+100,+100,+100,+100,+100,+100,+100,+100,-102,+103,-102,+100,-,-,-,-,-,-105,+100,+100,+100,+100,+100,-,-,+100,71.2857,0.5003,0.48029999999999995,103,0.4926,0,1,-0.025,0.0,108.2,2.082,2.1036,0.0298,0.0485,2.0604,0.0344,0.0584
9,4,"Fri Feb 01, 2019",Harvard,0,0%,-110,-117,-113,-120,-120,-120,-120,-120,-120,-120,-120,-118,-113,-119,-120,-,-,-,-,-,-115,-120,-120,-120,-120,-120,-,-,-120,-118.8095,0.5429,0.5229,-113,0.5305,0,1,-0.0144,0.0,-109.6011,1.9124,1.9306,0.0364,0.06,1.8942,0.0357,0.0618
10,5,"Fri Feb 01, 2019",Davidson,0,45%,-123,-127,-120,-123,-123,-125,-125,-125,-125,-123,-123,-125,-120,-130,-125,-,-,-,-,-,-125,-123,-125,-125,-125,-125,-,-,-125,-124.381,0.5543,0.5343,-120,0.5455,0,1,-0.0204,0.0,-114.7315,1.8716,1.889,0.0383,0.0634,1.8542,0.036,0.0627
